Team,parent,Total,Home Games,Away Games
Vietnam Republic,Origin,153,48,105
Wales,Origin,656,321,335
Wallis Islands and Futuna,Origin,24,3,21
Western Armenia,Origin,16,5,11
Western Australia,Origin,29,0,29
Western Isles,Origin,28,11,17
Western Sahara,Origin,5,3,2
Yemen,Origin,226,101,125
Yemen DPR,Origin,24,2,22
Ynys Môn,Origin,61,29,32
Yorkshire,Origin,7,5,2
Yugoslavia,Origin,480,190,290
Zambia,Origin,718,300,418
Zanzibar,Origin,205,58,147
Zimbabwe,Origin,456,190,266
